"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"new zealand vs india","5M+","24 October 2024 at 09:00:00 UTC+5:30",,"new zealand vs india,mca,3rd test ind vs nz","https://trends.google.com/trends/explore?q=new%20zealand%20vs%20india&geo=IN&hl=en-GB"
"south africa vs bangladesh","1M+","29 October 2024 at 09:00:00 UTC+5:30",,"south africa vs bangladesh,tony de zorzi,tristan stubbs,sa vs ban,dane paterson,aiden markram,ind vs sa,where to watch south africa national cricket team vs bangladesh national cricket team,south africa national cricket team,zakir hasan,bangladesh national cricket team","https://trends.google.com/trends/explore?q=south%20africa%20vs%20bangladesh&geo=IN&hl=en-GB"
"krishnakumar kunnath 'kk'","2M+","25 October 2024 at 00:00:00 UTC+5:30",,"krishnakumar kunnath 'kk',kk,krishnakumar kunnath kk,kk death,kk singer death,krishnakumar kunnath ""kk"",krishnakumar kunnath 'kk,krishnakumar kunnath kk death,krishnakumar kunnath 'kk' death,krishnakumar kunnath 'kk' songs","https://trends.google.com/trends/explore?q=krishnakumar%20kunnath%20%27kk%27&geo=IN&hl=en-GB"
"elcid investment","200K+","29 October 2024 at 09:50:00 UTC+5:30",,"elcid investment,elcid investment share,elcid investment share price,elcid share price,elcid investments share price nse,elcid investments share price,elcid investments,elcid investment share price history,elcid investments ltd,penny stocks,elcid investment share news,investing","https://trends.google.com/trends/explore?q=elcid%20investment&geo=IN&hl=en-GB"
"do patti","500K+","24 October 2024 at 23:40:00 UTC+5:30",,"do patti,do patti review,kriti sanon,do patti movie,kanika dhillon,do patti movie review,do patti cast","https://trends.google.com/trends/explore?q=do%20patti&geo=IN&hl=en-GB"
"meiyazhagan","500K+","25 October 2024 at 00:00:00 UTC+5:30",,"meiyazhagan,satyam sundaram,satyam sundaram ott,satyam sundaram 2024,meiyazhagan ott release date,sathyam sundaram,meiyazhagan ott,sathyam sundaram ott,sathyam sundaram 2024,karthi new movie,arvind swamy,meiyazhagan movie,aravind swamy","https://trends.google.com/trends/explore?q=meiyazhagan&geo=IN&hl=en-GB"
"ballon d'or 2024","500K+","27 October 2024 at 01:40:00 UTC+5:30",,"ballon d'or 2024,rodri,ballon d'or,ballon d'or 2024 winner,2024 ballon d'or winner,who won the ballon d'or 2024,who won ballon d'or 2024,2024 ballon d'or,vinicius jr,ballon dor,ballon d'or ceremony,rodri ballon d'or,ballon d'or winners,ballon d'or 2024 rankings,2024 ballon d'or winners,ballon d or,ballondor,vini jr,ballon d'or winner 2024,ballon d'or winner,ballon dor 2024,balon dor,2024 ballon d'or ranking list,who will win ballon d'or 2024,sergio,ballon d or 2024 winner,who win ballon d'or 2024,ballon d'or 2024 ceremony,who won the ballon d'or,ballon d or 2024,rodri man city,ballon d'or 2024 list,vinicius junior,ballon dor ceremony,who won 2024 ballon d'or,when is ballon d'or 2024,skip,uefa,who won the 2024 ballon d'or,ballon dor winner","https://trends.google.com/trends/explore?q=ballon%20d%27or%202024&geo=IN&hl=en-GB"
"diwali wishes","200K+","28 October 2024 at 07:50:00 UTC+5:30",,"diwali wishes,choti diwali 2024,choti diwali,narak chaturdashi,narak chaturdashi 2024,kali chaudas 2024,choti diwali wishes,chhoti diwali,bhoot chaturdashi 2024,diwali quotes,naraka chaturdashi 2024,छोटी दिवाली की हार्दिक शुभकामनाएं,roop chaudas 2024,naraka chaturdashi,yam ka diya,नरक चतुर्दशी,diwali 2024,chhoti diwali wishes,छोटी दिवाली,chhoti diwali images,छोटी दिवाली की शुभकामनाएं,diwali message,30 october 2024 panchang,kali chaudas wishes,आज क्या है,आज का चौघड़िया,दीपावली की हार्दिक शुभकामनाएं,छोटी दीपावली,roop chaturdashi 2024","https://trends.google.com/trends/explore?q=diwali%20wishes&geo=IN&hl=en-GB"
"rangoli","200K+","27 October 2024 at 17:10:00 UTC+5:30",,"rangoli,रंगोली,रंगोली डिजाइन,धनतेरस रंगोली,dhanteras ki rangoli,धनतेरस की रंगोली","https://trends.google.com/trends/explore?q=rangoli&geo=IN&hl=en-GB"
"tnpsc group 4 result 2024","200K+","28 October 2024 at 10:30:00 UTC+5:30",,"tnpsc group 4 result 2024,tnpsc group 4 result,group 4 result,group 4 result date 2024,tnpsc group 4,tnpsc. gov. in,www.tnpsc.gov.in result 2024,tnpsc. gov. in group 4 result,group 4 result 2024,tnpsc result,www.tnpsc.gov.in 2024,tnpsc.gov.in results,tnpsc group 4 cut off 2024,tnpsc results.tn.gov.in,tnpsc result 2024,group 4 result link,tnpsc.gov.in results 2024,tnpsc.gov.in,tnpsc.gov.in results 2024 group 4,group 4,tnpsc. gov. in group 4 result 2024,tnpsc group 4 result date 2024,www.tnpsc.gov.in result,tnpscresults.tn.gov.in,tnpscexams.in,www.tnpscresults.nic.in 2024,tnpsc group 4 pass mark,results,tn exam,group 4 results,www.tnpsc.gov.in,tnpsc result 2024 group 4,tnpsc cut off marks group 4 2024,tnpsc group 4 result 2024 in tamil,tnpsc gov.in,tnpsc results,tnpsc group 4 results,tnpscexams.in 2024 group 4,tnpsc result date 2024,tnpsc group 4 cut off marks out of 300,www.tnpsc.gov.in latest news,tnpsc group 4 cut off marks 2024,www.tnpscresults.tn.gov.in,tnpsc gov in,tnpsc official website,tnpsc group 4 results 2024,group 4 cut off 2024 tspsc,tnpsc group 4 result 2024 pdf download","https://trends.google.com/trends/explore?q=tnpsc%20group%204%20result%202024&geo=IN&hl=en-GB"
